feature,coefficient,abs_coefficient
RevolvingUtilizationOfUnsecuredLines,0.7437734348065166,0.7437734348065166
NumberOfTimes90DaysLate,0.49092130965264336,0.49092130965264336
NumberOfTime30-59DaysPastDueNotWorse,0.39828793421997577,0.39828793421997577
MonthlyIncome,-0.34840592571525547,0.34840592571525547
NumberOfTime60-89DaysPastDueNotWorse,0.31105497890088885,0.31105497890088885
age,-0.28452712376529504,0.28452712376529504
NumberOfOpenCreditLinesAndLoans,0.17075293034742045,0.17075293034742045
NumberRealEstateLoansOrLines,0.14752382823400145,0.14752382823400145
DebtRatio,-0.13153708148544732,0.13153708148544732
had_delinquency_sentinel,0.10605788335661928,0.10605788335661928
revolving_util_capped,-0.07854333489838275,0.07854333489838275
debt_ratio_capped,0.04526653157881233,0.04526653157881233
monthly_income_missing,0.039342137960246076,0.039342137960246076
NumberOfDependents,0.022680583705907642,0.022680583705907642
dependents_missing,-0.004533939277751139,0.004533939277751139
