feature,mean_abs_shap
RevolvingUtilizationOfUnsecuredLines,0.8432125
NumberOfTime30-59DaysPastDueNotWorse,0.37848988
NumberOfTimes90DaysLate,0.3226106
age,0.24795838
NumberOfOpenCreditLinesAndLoans,0.17280644
NumberOfTime60-89DaysPastDueNotWorse,0.16741817
DebtRatio,0.1370768
MonthlyIncome,0.0987618
NumberRealEstateLoansOrLines,0.08962381
NumberOfDependents,0.02347867
monthly_income_missing,0.020819059
had_delinquency_sentinel,0.010891731
dependents_missing,0.0005811816
debt_ratio_capped,7.257356e-05
revolving_util_capped,3.1359526e-05
