feature,value,shap_contribution
NumberOfTimes90DaysLate,3.0,1.4506309
RevolvingUtilizationOfUnsecuredLines,1.017137961,0.92058665
NumberOfTime30-59DaysPastDueNotWorse,4.0,0.820294
NumberOfTime60-89DaysPastDueNotWorse,2.0,0.80489105
DebtRatio,0.723868388,0.21630938
age,49.0,0.06953729
NumberOfOpenCreditLinesAndLoans,6.0,-0.059921768
NumberRealEstateLoansOrLines,1.0,-0.039865945
MonthlyIncome,5500.0,0.0321261
NumberOfDependents,0.0,-0.011224104
had_delinquency_sentinel,0.0,-0.0070864772
monthly_income_missing,0.0,0.0043395404
dependents_missing,0.0,0.0002773351
debt_ratio_capped,0.0,2.397916e-05
revolving_util_capped,0.0,1.2895112e-05
