feature,gain_importance
RevolvingUtilizationOfUnsecuredLines,0.26095954
NumberOfTimes90DaysLate,0.21038209
NumberOfTime30-59DaysPastDueNotWorse,0.1837853
NumberOfTime60-89DaysPastDueNotWorse,0.102436
had_delinquency_sentinel,0.04411733
NumberRealEstateLoansOrLines,0.04305693
age,0.032473255
monthly_income_missing,0.029321518
NumberOfOpenCreditLinesAndLoans,0.024882564
DebtRatio,0.018199231
MonthlyIncome,0.016571276
NumberOfDependents,0.012811108
debt_ratio_capped,0.009575349
dependents_missing,0.007848581
revolving_util_capped,0.0035800315
